,
year,IME ratio (for coal)
2011,0.2669864109
2012,0.2743622449
2013,0.2798161667
2014,0.2763726473
2015,0.2634606136
2016,0.2609409039
2017,0.2717740572
2018,0.2672035621
2019,0.2619562957
2020,0.2550301585
2021,0.2478748398
2022,0.2394128087
2023,0.2266270806
2024,0.2010037736
