Year,Month,内蒙古自治区,内蒙古自治区 蒙东,内蒙古自治区 蒙西,吉林省,黑龙江省
2011,1,228.02844486486484,60.880496077578805,167.14794878728603,53.601836756756754,72.34671459459459
2011,2,198.868954,53.0953082678972,145.7736457321028,49.511897,60.845136
2011,3,222.7,59.457873707430004,163.24212629257,54.3,71.9
2011,4,234.3,62.55491607387001,171.74508392613,51.1,64.2
2011,5,259.9,69.38976819291,190.51023180708998,54.2,66.8
2011,6,276.8,73.90183853712001,202.89816146288,66.1,66.7
2011,7,269.0,71.8193445321,197.1806554679,61.7,64.6
2011,8,260.7,69.60335732163,191.09664267837,58.7,66.7
2011,9,245.4,65.51846523486,179.88153476514,58.8,65.5
2011,10,258.0,68.88249401220001,189.11750598779997,60.4,69.2
2011,11,249.5,66.61310951955001,182.88689048045,62.8,73.0
2011,12,254.0,67.8145483686,186.18545163139999,63.3,77.8
2012,1,243.18918918918916,66.72193188135675,176.46725730783243,63.24324324324324,78.43243243243242
2012,2,233.2,63.98127551067999,169.21872448931998,57.3,71.6
2012,3,242.5,66.53284438825,175.96715561175,61.3,77.3
2012,4,244.6,67.10900510254,177.49099489745998,49.6,68.2
2012,5,263.8,72.37676020462,191.42323979538003,49.9,70.7
2012,6,250.6,68.75517857194,181.84482142806002,51.2,66.6
2012,7,266.8,73.19984693932,193.60015306068001,58.0,66.8
2012,8,268.2,73.58395408218,194.61604591781997,58.2,64.8
2012,9,261.9,71.85547193931,190.04452806068997,53.4,62.6
2012,10,262.0,71.8829081638,190.11709183620002,54.4,65.8
2012,11,261.6,71.77316326584001,189.82683673416,61.6,75.7
2012,12,285.3,78.27554846997,207.02445153003,70.3,83.0
2013,1,273.84324324324325,76.62576660101999,197.21747664222326,70.17297297297297,79.85405405405405
2013,2,232.76675675675676,65.13190161086699,167.6348551458898,59.64702702702702,67.87594594594594
2013,3,274.63,76.845913860821,197.784086139179,65.35,74.73
2013,4,283.26,79.26072737944199,203.999272620558,57.84,67.2
2013,5,280.32,78.438067849344,201.88193215065598,57.24,64.65
2013,6,281.72,78.829810482724,202.89018951727604,57.82,62.59
2013,7,290.23,81.211046061341,209.01895393865902,58.72,66.27
2013,8,297.89,83.35443789826299,214.535562101737,65.72,62.23
2013,9,297.71,83.30407098825698,214.405929011743,58.56,60.15
2013,10,319.73,89.465622978991,230.264377021009,57.89,68.0
2013,11,304.77,85.27957312515899,219.49042687484098,63.17,73.41
2013,12,320.6,89.70906304402,230.89093695598,68.72,79.44
2014,1,302.1297297297297,83.50039323343891,218.62933649629082,71.38378378378378,77.23783783783783
2014,2,268.44,74.189473441212,194.250526558788,62.68,65.93
2014,3,306.22,84.630832056206,221.58916794379402,65.89,72.55
2014,4,303.89,83.986883787997,219.903116212003,57.45,64.79
2014,5,299.78,82.85099220759399,216.92900779240597,60.11,64.44
2014,6,302.85,83.699456234805,219.15054376519504,63.46,66.71
2014,7,318.52,88.03021561799599,230.489784382004,58.66,66.28
2014,8,317.8,87.83122731194,229.96877268806003,58.96,66.58
2014,9,308.02,85.128302821346,222.891697178654,57.19,62.69
2014,10,301.54,83.337408066842,218.20259193315803,58.25,70.97
2014,11,295.13,81.56585939764899,213.56414060235102,65.24,77.16
2014,12,310.44,85.797124627812,224.642875372188,71.15,82.5
2015,1,298.3405405405405,78.60098187256646,219.739558667974,74.74054054054054,82.01621621621621
2015,2,247.43,65.188059623048,182.24194037695202,64.33,69.69
2015,3,289.65,76.31136672923999,213.33863327076,64.17,76.46
2015,4,311.55,82.08115416708,229.46884583292,53.4,65.79
2015,5,305.1577,80.39703488676471,224.76066511323526,46.7214,63.7626
2015,6,314.9503,82.97699929150409,231.97330070849594,46.1681,62.9516
2015,7,333.722,87.9226028918192,245.79939710818078,51.0052,69.9759
2015,8,322.0228,84.84032448119008,237.18247551880995,52.2951,69.5954
2015,9,294.7566,77.65675469864976,217.09984530135023,50.0546,64.642
2015,10,306.6214,80.78266218689105,225.83873781310893,61.9968,76.6731
2015,11,312.8115,82.4135097311364,230.39799026886362,72.2494,80.9186
2015,12,302.9762,79.82229555819632,223.1539044418037,74.5515,84.0772
2016,1,299.10545945945944,78.04884895277615,221.05661050668328,74.82583783783782,85.17270270270271
2016,2,254.2396405405405,66.34152160985973,187.89811893068077,63.601962162162145,72.3967972972973
2016,3,309.7996,80.83938765185844,228.96021234814157,62.6126,79.0809
2016,4,314.8,82.14419654772001,232.65580345228,56.1,70.8
2016,5,322.0,84.02297105580001,237.9770289442,52.2,66.7
2016,6,313.1,81.70059701109001,231.39940298891003,51.7,65.3
2016,7,333.7,87.07597963143,246.62402036856997,54.1,69.2
2016,8,336.0,87.67614371040001,248.32385628959997,53.2,71.2
2016,9,302.9,79.03899979131,223.86100020868997,53.8,63.8
2016,10,317.9,82.95311334981,234.94688665018998,64.3,78.6
2016,11,325.4,84.91017012906,240.48982987093996,74.0,85.9
2016,12,333.0,86.8933209987,246.1066790013,77.8,88.5
2017,1,324.1621621621622,88.09886600153513,236.06329616062706,75.02702702702703,86.7027027027027
2017,2,275.53783783783786,74.88403610130486,200.653801736533,63.77297297297297,73.69729729729728
2017,3,345.7,93.95229157403999,251.74770842596,68.1,81.0
